metric,n_classes,model1,model2,mean1,mean2,p_raw,p_bonf,Istotne
ari,4,autoencoder,masked_autoencoder,0.15669632599617947,0.12043069774698986,0.6904761904761905,1.0,Nie
ari,4,cmae,masked_autoencoder,0.08724000000000001,0.12043069774698986,0.5476190476190477,1.0,Nie
ari,5,autoencoder,cmae,0.1422389715917125,0.11488568798739207,0.42063492063492064,1.0,Nie
ari,5,autoencoder,masked_autoencoder,0.1422389715917125,0.07166481681122797,0.09523809523809523,0.2857142857142857,Nie
ari,5,cmae,masked_autoencoder,0.11488568798739207,0.07166481681122797,0.5476190476190477,1.0,Nie
ari,10,autoencoder,cmae,0.08322853599887944,0.0718643919784264,0.15079365079365079,0.45238095238095233,Nie
ari,10,autoencoder,masked_autoencoder,0.08322853599887944,0.07947881093980662,1.0,1.0,Nie
ari,10,cmae,masked_autoencoder,0.0718643919784264,0.07947881093980662,0.8412698412698413,1.0,Nie
ari,20,autoencoder,cmae,0.06762543134510013,0.058490378847087465,0.30952380952380953,0.9285714285714286,Nie
ari,20,autoencoder,masked_autoencoder,0.06762543134510013,0.05512936180413336,0.2222222222222222,0.6666666666666666,Nie
ari,20,cmae,masked_autoencoder,0.058490378847087465,0.05512936180413336,0.6904761904761905,1.0,Nie
ari,50,autoencoder,cmae,0.039659743762377304,0.03989176870814476,1.0,1.0,Nie
ari,50,autoencoder,masked_autoencoder,0.039659743762377304,0.03029888631896312,0.007936507936507936,0.023809523809523808,Tak
ari,50,cmae,masked_autoencoder,0.03989176870814476,0.03029888631896312,0.007936507936507936,0.023809523809523808,Tak
silhouette,2,autoencoder,cmae,0.1192928552627563,0.18618,0.007936507936507936,0.023809523809523808,Tak
silhouette,2,autoencoder,masked_autoencoder,0.1192928552627563,0.1614309668540954,0.031746031746031744,0.09523809523809523,Nie
silhouette,2,cmae,masked_autoencoder,0.18618,0.1614309668540954,0.30952380952380953,0.9285714285714286,Nie
silhouette,3,autoencoder,cmae,0.08578070104122157,0.1624,0.007936507936507936,0.023809523809523808,Tak
silhouette,3,autoencoder,masked_autoencoder,0.08578070104122157,0.09767621308565136,0.5476190476190477,1.0,Nie
silhouette,3,cmae,masked_autoencoder,0.1624,0.09767621308565136,0.007936507936507936,0.023809523809523808,Tak
silhouette,4,autoencoder,cmae,0.07446309402585027,0.1401,0.007936507936507936,0.023809523809523808,Tak
silhouette,4,autoencoder,masked_autoencoder,0.07446309402585027,0.08857742771506305,0.42063492063492064,1.0,Nie
silhouette,4,cmae,masked_autoencoder,0.1401,0.08857742771506305,0.015873015873015872,0.047619047619047616,Tak
silhouette,5,autoencoder,cmae,0.07245155125856395,0.13148837983608241,0.007936507936507936,0.023809523809523808,Tak
silhouette,5,autoencoder,masked_autoencoder,0.07245155125856395,0.09771291166543952,0.031746031746031744,0.09523809523809523,Nie
silhouette,5,cmae,masked_autoencoder,0.13148837983608241,0.09771291166543952,0.015873015873015872,0.047619047619047616,Tak
silhouette,10,autoencoder,cmae,0.04654610455036158,0.11631768643856041,0.007936507936507936,0.023809523809523808,Tak
silhouette,10,autoencoder,masked_autoencoder,0.04654610455036158,0.0622756831347942,0.09523809523809523,0.2857142857142857,Nie
silhouette,10,cmae,masked_autoencoder,0.11631768643856041,0.0622756831347942,0.007936507936507936,0.023809523809523808,Tak
silhouette,20,autoencoder,cmae,0.01780542968772348,0.08845939785242074,0.007936507936507936,0.023809523809523808,Tak
silhouette,20,autoencoder,masked_autoencoder,0.01780542968772348,0.03826243244111534,0.007936507936507936,0.023809523809523808,Tak
silhouette,20,cmae,masked_autoencoder,0.08845939785242074,0.03826243244111534,0.007936507936507936,0.023809523809523808,Tak
silhouette,50,autoencoder,cmae,-0.00652253078296776,0.06843971908092497,0.007936507936507936,0.023809523809523808,Tak
silhouette,50,autoencoder,masked_autoencoder,-0.00652253078296776,0.01594802457839246,0.007936507936507936,0.023809523809523808,Tak
silhouette,50,cmae,masked_autoencoder,0.06843971908092497,0.01594802457839246,0.007936507936507936,0.023809523809523808,Tak
dbi,2,autoencoder,cmae,2.430446984825248,1.7973,0.007936507936507936,0.023809523809523808,Tak
dbi,2,autoencoder,masked_autoencoder,2.430446984825248,2.147687273698634,0.30952380952380953,0.9285714285714286,Nie
dbi,2,cmae,masked_autoencoder,1.7973,2.147687273698634,0.09523809523809523,0.2857142857142857,Nie
dbi,3,autoencoder,cmae,2.5829179031714133,1.7955400000000001,0.007936507936507936,0.023809523809523808,Tak
dbi,3,autoencoder,masked_autoencoder,2.5829179031714133,2.403171929319675,0.30952380952380953,0.9285714285714286,Nie
dbi,3,cmae,masked_autoencoder,1.7955400000000001,2.403171929319675,0.007936507936507936,0.023809523809523808,Tak
dbi,4,autoencoder,cmae,2.5829568501646665,1.8938,0.007936507936507936,0.023809523809523808,Tak
dbi,4,autoencoder,masked_autoencoder,2.5829568501646665,2.3452913500281887,0.2222222222222222,0.6666666666666666,Nie
dbi,4,cmae,masked_autoencoder,1.8938,2.3452913500281887,0.015873015873015872,0.047619047619047616,Tak
